FIPS,State,County,Life Expectancy,Frequent Physical Distress,Limited Access to Healthy Foods,Median Household Income,Homeowners,Severe Housing Cost Burden,Population,Black,American Indian & Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Hispanic,Non-Hispanic White,Female,Rural
9000,Connecticut,NA,80.86944868,9.913162107,4.343403845,76366,66.34132286,16.7434376,3572665,364858,19943,173799,3840,589809,2376351,51.20183393,429155
9001,Connecticut,Fairfield,82.70727223,7.866190614,3.20831894,91183,67.30545007,19.53667027,943823,103579,4887,54887,1019,190436,580580,51.288748,42028
9003,Connecticut,Hartford,80.29557042,9.23921256,4.01996679,73037,64.49017945,15.84705551,892697,118190,5043,52233,1100,164732,541169,51.37017375,48354
9005,Connecticut,Litchfield,80.43244313,8.43321223,2.797782609,76304,77.14733669,13.73147943,181111,2957,599,3718,129,12180,159502,50.55463224,78722
9007,Connecticut,Middlesex,81.10542525,9.013338912,4.881699861,88709,73.644083,13.5264588,162682,7781,449,5132,108,10462,136198,51.29024723,40657
9009,Connecticut,New Haven,80.13563462,9.840190205,4.542664128,67720,61.934414,18.11125323,857620,110014,4597,36950,895,159804,534633,51.78587253,31394
9011,Connecticut,New London,79.87529995,9.321727388,7.148508682,67790,66.53414275,14.43312734,266784,15245,3145,11698,380,29186,200817,49.88380113,70729
9013,Connecticut,Tolland,81.58624499,9.093836584,8.011685277,89584,72.05605446,12.53453166,150921,4921,404,7440,116,8633,127222,49.90889273,58340
9015,Connecticut,Windham,78.72319202,9.664727755,4.626145358,65182,69.65286058,12.95063463,117027,2171,819,1741,93,14376,96230,50.48749434,58931
23000,Maine,NA,78.68370602,12.00351269,3.833019255,55579,72.19954934,12.56752615,1338404,20708,9657,16674,455,22850,1246689,51.03324557,814819
23001,Maine,Androscoggin,77.56442936,10.87874716,3.549568649,49935,64.34679387,12.2726154,107679,4506,464,944,42,2134,97327,51.05266579,46707
23003,Maine,Aroostook,77.98312228,12.40331286,4.683477179,39450,71.72541744,11.62226752,67111,695,1297,314,26,887,63050,50.55058038,57687
23005,Maine,Cumberland,80.24082785,9.086342489,4.501344824,71586,68.74128152,13.24304439,293557,8874,1051,6683,99,6284,265239,51.4697316,101680
23007,Maine,Franklin,78.11900258,11.40157277,1.038535327,49561,79.17407125,9.424542349,29897,163,142,144,14,396,28612,50.91146269,25537
